name	unit	short_desc	long_desc
tabs/Z32_Z33/energy	kBTU/h	TABS energy delivered, zone Z32_Z33 (3rd floor)	TABS energy delivered for zone Z32_Z33 (3rd floor). 10 BTU meters total across geo + tabs [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Computed by the BTU meter from supply/return T and flow. The second-floor BTU is a floor-aggregate measurement (return water temperature read for the whole floor, not per-zone), so the Z21–Z27 group shares a single energy reading [report, "Notices"]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
outdoor/facade/north/low	F	facade temperature, north facade, low elevation	Facade temperature for north facade, low elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/north/high	F	facade temperature, north facade, high elevation	Facade temperature for north facade, high elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/east/low	F	facade temperature, east facade, low elevation	Facade temperature for east facade, low elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/east/high	F	facade temperature, east facade, high elevation	Facade temperature for east facade, high elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/south/low	F	facade temperature, south facade, low elevation	Facade temperature for south facade, low elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/south/mid	F	facade temperature, south facade, mid elevation	Facade temperature for south facade, mid elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/south/high	F	facade temperature, south facade, high elevation	Facade temperature for south facade, high elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/west/high_left	F	facade temperature, west facade, high_left elevation	Facade temperature for west facade, high_left elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/facade/west/high_right	F	facade temperature, west facade, high_right elevation	Facade temperature for west facade, high_right elevation. 9 [han24, Table 3] sensors total. Missing-data: Y1 6.37%, Y2 12.73%. Highest-failure-rate sensor group [han24, Table 4: "Façade sensor issue"]. Correction: [han24] states facade temperature is in °C, but observed values are clearly Fahrenheit (similar to slab); gen_names.py records the unit as F. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/weather/solar_radiation	W/m^2	solar radiation (global horizontal irradiance), rooftop pyranometer	Solar radiation (global horizontal irradiance) for rooftop pyranometer. Sensor: unknown (accuracy ±10 W/m² or ±5%, whichever is larger [report, Appendix Table A], range 0 to 1280 W/m² [report, Appendix Table A]). Missing-data: Y1 0%, Y2 0%. Sources: [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
load/heat_pump/total	kW	heat-pump electrical load	Electrical load of the heat pump (mechanical-side draw). Part of the 19-meter breakdown-loads bank [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/) — System Sensors table, Appendix Table A.
load/heat_pump/electric	kW	heat pump compressor electric load	Heat pump compressor electric load. In paper Fig 9/10 the "Heat Pump" line aggregates this column with loads/heating [han24, Figs 9 & 10]. Fig 8 pie bucket: Heating. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
load/cooling_pump	kW	cooling-pump electrical load	Electrical load of the cooling pump. Part of the 19-meter breakdown-loads bank [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/) — System Sensors table.
load/dhw/electric	kW	domestic hot water (electric backup)	Domestic hot water (electric backup). Spelled "EHW" in the source CSVs. Fig 8 pie bucket: DHW.
load/dhw/solar	kW	solar hot water (rooftop collectors)	Solar hot water (rooftop collectors). Spelled "SHW" in Y1 CSVs and "Solar_hot_water_load (kW)" in Y2 — both map to this canonical. Solar-hot-water loop offline 3/14–8/16/2023; from 8/16–9/5/2023 it was powered from the basement breaker, adding ~5 kWh to basement plug load [han24, Table 4]. Fig 8 pie bucket: DHW. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
load/lighting/basement	kW	lighting load, basement	Lighting electrical load for the basement (level 0). One of four per-floor lighting sub-meters in the breakdown-loads bank [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/).
load/lighting/floor1	kW	lighting load, 1st floor	Lighting electrical load for the 1st floor (level 1). One of four per-floor lighting sub-meters [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/).
load/lighting/floor2	kW	lighting load, 2nd floor	Lighting electrical load for the 2nd floor (level 2, open-plan office). One of four per-floor lighting sub-meters [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/).
load/lighting/floor3	kW	lighting load, 3rd floor	Lighting electrical load for the 3rd floor (level 3). One of four per-floor lighting sub-meters [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/).
load/emergency_lighting	kW	emergency / egress lighting	Emergency / egress lighting. In paper Fig 8 pie, this rolls up under "Others", not "Lighting" [han24, Fig 8]. Fig 8 pie bucket: Others. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
load/plug/basement	kW	plug load, basement	Plug load, basement. 8/16–9/5/2023 includes ~5 kWh added by the temporarily-relocated solar-hot-water circuit [han24, Table 4]. Fig 8 pie bucket: Plug load. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
load/plug/floor1	kW	plug load, 1st floor	Plug load, 1st floor. Fig 8 pie bucket: Plug load.
load/plug/floor2	kW	plug load, 2nd floor	Plug load, 2nd floor. Fig 8 pie bucket: Plug load.
load/plug/floor3	kW	plug load, 3rd floor	Plug load, 3rd floor. Fig 8 pie bucket: Plug load.
load/controls	kW	building controls electric load	Building controls electric load. Fig 8 pie bucket: Controls.
load/it	kW	IT load	IT load. Largest single end-use category in both Y1 and Y2 — 42% of annual building electricity in Y1, 44% in Y2 [han24, Fig 8]. Fig 8 pie bucket: IT. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
load/fire_alarm	kW	fire alarm panel	Fire alarm panel. Fig 8 pie bucket: Others.
load/elevator	kW	elevator (drive + cab)	Elevator (drive + cab). Undocumented anomaly: a continuous ~0.108 kWh/h phantom standby load runs from the start of the record until exactly 2022-10-31 09:00, then drops to 0 in three hours and stays at 0 except for real ride pulses. Looks like cab-lighting / hydraulic-standby left on; not flagged in [han24, Table 4]. Treat the Jun–Oct 2022 window as unusable for occupancy analysis. [obs2026]. Fig 8 pie bucket: Others. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [obs2026] direct observation of the released CSV values during analysis (2026).
load/exhaust_fan	kW	exhaust fan	Exhaust fan. Fig 8 pie bucket: Others.
load/sump_pump	kW	sump pump, basement	Sump pump for basement. Fig 8 pie bucket: Others.
load/battery_cabinet	kW	battery cabinet (UPS)	Battery cabinet (UPS). Fig 8 pie bucket: Others.
load/solar_rapid_shutdown	kW	PV rapid-shutdown standby circuit	PV rapid-shutdown standby circuit. Fig 8 pie bucket: Others.
pv/meter1	kW	PV array production, meter 1, rooftop, AC-side	PV array production, meter 1 for rooftop, AC-side. 2 PV meters [han24, Table 3] sensors total. Missing-data: Y1 1.96%, Y2 0%. A higher-efficiency inverter installed in early 2023 raised the PV/insolation ratio from March 2023 onward [han24, "Photovoltaic" section]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
pv/meter2	kW	PV array production, meter 2, rooftop, AC-side	PV array production, meter 2 for rooftop, AC-side. 2 PV meters [han24, Table 3] sensors total. Missing-data: Y1 0%, Y2 0%. Notable connection-issue periods filled to 0 in the released CSVs [load_nb, miss_intervals; han24, Table 4]. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [load_nb] HouseZero-two-year-dataset processing code, Load_Raw_Processing.ipynb (https://github.com/Harvard-CGBC-at-GSD/HouseZero-two-year-dataset-June-2022-May-2024-Processing-Code).
meter/net	kW	net electricity meter (utility tie)	Net electricity meter (utility tie). Signed reading: positive = drawing from grid, negative = exporting.
meter/import	kW	import meter (utility tie)	Import meter (utility tie). Cross-validation against meters/net plus the load breakdown.
meter/export	kW	export meter (utility tie)	Export meter (utility tie). Nonzero only when PV production exceeds building load.
outdoor/weather/air_temperature	F	outdoor air temperature, on-site 'gund' weather station	Outdoor air temperature for on-site 'gund' weather station. Sensor: Siemens 1000 Ω Pt RTD, analog [sensorinfo, "Outdoor Temperature" spec sheet] (accuracy ±0.20–0.25°C across -40–75°C [report, Appendix Table A], range -40 to 75°C [report, Appendix Table A]). Missing-data: Y1 0%, Y2 0%. Two weather stations operate independently (one on the HouseZero roof, one on a nearby building) and their readings are cross-checked [han24, Data Records section]. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
outdoor/weather/wind_speed	m/s	wind speed, on-site weather station	Wind speed from the on-site 'gund' weather station. Accuracy ±0.3 m/s below 3 m/s, ±1 m/s above 3 m/s [report, Appendix Table A]; range 0.3 to 75 m/s [report, Appendix Table A]. 2 sensors total [report, Outdoor Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/).
outdoor/weather/wind_direction	deg	wind direction, on-site weather station	Wind direction from the on-site 'gund' weather station. Accuracy ±2° [report, Appendix Table A]; range 0° to 359° [report, Appendix Table A]. 2 sensors total [report, Outdoor Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/).
outdoor/weather/rain		rainfall, on-site rain gauge	Rainfall for on-site rain gauge. Sensor: unknown. Missing-data: Y1 0%, Y2 1.02%.
outdoor/weather/humidity	%	outdoor relative humidity, on-site weather station	Outdoor relative humidity from the on-site 'gund' weather station. Accuracy ±2.5% from 10–90% RH (typical), up to ±3.5% [report, Appendix Table A]; range 0 to 100% [report, Appendix Table A]. 1 sensor [report, Outdoor Sensors table]. Sparsely populated (most rows empty). Sources: [report] Data Report.pdf (extras/Data Report/).
zone/Z01/co2	ppm	CO2 concentration, zone Z01 (basement)	CO2 concentration for zone Z01 (basement). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z03/co2	ppm	CO2 concentration, zone Z03 (basement)	CO2 concentration for zone Z03 (basement). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
zone/Z04/co2	ppm	CO2 concentration, zone Z04 (basement)	CO2 concentration for zone Z04 (basement). Sensor: Siemens PL-Link semi-flush room sensor (QPA2x family) — capacitive humidity element with NDIR CO2 cell [sensorinfo, "Room Comfort" spec sheet] (accuracy ±50 ppm + 5% measured value [sensorinfo, "Room Comfort" spec sheet], range 0–5000 ppm [sensorinfo, "Room Comfort" spec sheet]). 15 [han24, Table 3] sensors total. Missing-data: Y1 2.04%, Y2 0%. Installed-system accuracy in [report, Appendix Table A] is wider: ±120 ppm at 300–1000 ppm, ±250 ppm at 1000–2000 ppm, ±300 ppm at 2000–5000 ppm; range 300–9999 ppm. Use these as the practical error bars rather than the sensor-element spec. Sources: [sensorinfo] HZ_Sensors_info.pdf — HouseZero sensor reference manual (Harvard CGBC), spec sheets and floor-plan markers; [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7; [report] Data Report.pdf (extras/Data Report/) — per-sensor missing-period tables, Appendix Table A operational accuracy/range, system-sensor notices.
